customer_number,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,bakery,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,cashpoint,seasonal_gifting,discount_bakery,practical_items
10856,55.74,28.35,12.24,20.77,7.96,0,6.82,34.24,3.45,9.27,20.3,311.65,128.8,2.99,10.33,7,60,2.09,4.09,0
5130,8.57,17.36,15.59,9.94,11.6,0,2.15,8.45,5.16,16.32,23.81,24.06,128.61,0,4.39,0,0,0,0,0
3693,12.91,24.87,13.42,10.04,25.86,0,5.64,19.32,2.06,5.29,30.65,6.06,0,0,2.77,0,50,0,0,0
5057,133.72,100.99,74.45,268.86,62.97,0,103.72,82.32,32.28,159.04,208.48,615.01,0,2.34,18.09,0,330,14.3,0,0
1937,78.79,77.74,28.11,31.21,99.02,0,1.2,53.14,7.05,14.65,26.9,0,102.17,0,1.19,0,0,3.05,0,17.01
3451,86.13,128.5,59.03,64.78,28.86,0,72.68,9.74,7.86,34.72,16.45,0,4.84,11.35,6.12,29,0,5.95,0,3.4
4897,86.66,144.8,101.81,85.24,50.25,0,15.76,25.14,34.6,33.96,17.13,124.1,0,46.14,1.05,3,0,0.44,0,4.67
15196,30.46,16.31,16.51,6.66,2.41,0,1.95,1.58,0,1.75,0,0,0,1.1,0,0,40,0,0,3.4
8543,38.14,60.68,29.65,43.76,54.97,0,17.82,22.54,13.44,31.06,138.88,11.53,108.53,14.35,12.63,0,0,4.24,0,0
786,68.8,49.68,19.79,33.17,14.18,0,9.1,5.83,3.32,68.38,8.47,0,151.62,0,1.68,-4,0,1.01,0,0
15621,15.05,8.81,2.23,32.98,23,0,3.34,42.78,18.24,0,17.46,0,203.38,12.67,0,2,0,4.22,0,0
14984,2.47,21.08,8.85,5.11,4.57,0,13.83,1.79,0,0,103.63,0,11.05,0,0,12,0,0,3.98,0
13700,156.35,33.02,11.06,108.78,6.1,0,0,29.66,0,84.88,61.68,0,0,43.15,0.3,115.5,0,0,0,0
8011,61.54,174.35,186.67,139.66,166.57,0,40.39,106.74,37.09,88.58,128.16,8.93,177.24,7.72,2.63,0,65,18.08,0,0
8428,137.6,66.26,55.31,83.49,17.37,0,7.54,60.29,46.64,17.94,73.75,0,0,19.42,1.15,0,5,5.2,0,0
7884,19.68,13.89,7.8,6.43,18.52,0,9.88,11.63,4.32,2.34,8.08,27.57,55.63,1.13,2.36,6,122.05,0,0,0
11362,19.46,37.28,48.37,77.3,99.02,0,105.78,71.8,8.08,24.66,8.07,301.79,34.59,1.03,0.28,0,5,15.2,27.18,3.4
4754,73.71,53.28,51.12,78.14,43.06,0,24.03,35.55,77.33,30.84,104.21,168.86,0,2.83,1.29,3,0,9.99,0,3.3
6394,78.06,74.25,32.64,25.67,10.68,0,2.05,24.86,34.73,0.21,16,108.35,51.95,0,3.96,0,0,0,0,0
11988,12.52,29.41,9.76,20.71,0,0,12.1,11.95,1.36,11.99,10.51,0,8.49,11.95,0.99,0,0,0,0,0
3452,102.59,140.82,40.46,72,186.45,0,0.4,19.66,30.39,74,7.37,0,3.4,14.82,2.37,6,10,5.36,13.51,1.69
14910,2.22,15.33,1.27,13.1,16.9,0,0.35,3.28,0,0,11.07,194.76,0,0,0.69,14,105,0,0,0
5105,7.7,112.2,33.02,7.81,15.68,0,4.09,7.2,29.84,15.92,24.27,4.02,0,27.25,6.75,2,0,1.27,36.86,0
946,31.96,63.18,63.57,82.91,76.29,0,3.35,35.07,30.8,223.36,251.04,0,0,0,0,0,73,3.36,88.89,3.12
2660,271.12,260.04,96.81,109.41,317.79,0,8.6,114.03,3.04,119.69,53.42,0,8.5,2.45,8.67,0,0,23.13,0,1.92
11825,1.89,8.28,16.62,0,2.03,0,1.28,1.11,0.48,2.46,0,0,0,1.1,0.98,0,0,1.69,3.53,0
14871,3.71,4.72,14.44,2.4,16.64,0,5.8,7.72,0,6.53,0,28.28,0,4.77,2.38,0,0,5.06,1.09,1.27
6012,30.02,48.87,60.91,44.2,76.96,0,12.55,31.56,3.87,7.6,33.05,3.59,40.94,0,5.96,5,5,4.1,0,0
14768,6.73,103.14,54.04,40.47,20.91,0,4.5,0,75.71,17.86,4.58,0,0,17.37,0,41,0,0,0,0
7756,55.42,38.66,48.84,72.95,42.15,0,18.02,17.87,1.51,55.85,5.65,0,3.4,10.95,7.35,0,0,0,0,0
15778,0.38,14.86,7.83,8.37,5.44,0,14.03,11.72,6.62,0,7.22,405.86,0,11.25,0.57,0,120,0,1.92,0
14674,61.99,3.82,6.21,2.72,3.58,0,4.7,0,2.46,0,16.87,300.07,0,1.94,14.85,227,0,0,0,0
5137,23.04,139.88,47.18,52.14,39.41,0,7,52.66,31.42,6.12,7.72,32.45,581.54,0,8.86,0,20,1.99,0,9.45
12149,31.49,34.34,18.01,16.04,24.94,0,0,16.8,9.82,26,46.43,17.42,97.5,9.49,1.88,2,37.85,0,7.63,0
9089,107.47,40.54,58.95,45.42,30.69,0,4.08,33.51,6,31.3,24.26,2.32,19.1,84.46,5.31,2,0,14.21,30.08,0
1172,58.41,194.76,100.83,160.05,155.24,0,5.97,41.36,9.44,11.51,118.83,0,0,3.22,6.87,0,0,0,0,1.86
6246,110.57,113.7,59.72,49.13,22.68,0,48.8,24.15,27.14,34.18,114.26,0.84,82.26,0,0,104.5,420,0,0,0
4294,35.48,60.11,117.64,70.38,116.04,0,46.37,31.19,25.48,58.06,15.9,157.34,187.08,4.58,9.3,4,260,17.03,0,0
6470,96.24,70.43,18.42,39.32,85.44,0,5.4,56.26,18.15,19.22,92.95,9.96,8.91,1.69,0,0,0,4.76,20.13,0
5460,53,98.82,42.77,80.48,48.93,0,24.82,59.37,214.55,112.59,71.49,335.35,910.66,0,0,0,20,19.53,0,7.64
9078,165.96,61.45,226.72,141.02,135.88,0,1.55,64.18,40.17,68.1,153.88,3.85,35.37,16.14,33.44,3,0,8.51,21.21,0.84
8746,58.55,32.89,15.9,55.63,4.48,0,6.26,10.84,72.01,7.59,79,18.62,60.14,5.21,5.84,1,0,14.05,0,2.76
7705,123.71,69.16,55.13,152.16,94.09,0,1.7,47.66,22.44,72.83,122.07,0,22.04,9.92,1.98,0,0,1.69,0,0
12628,104.52,75.11,75.92,100.31,17.17,0,0,62.52,45.93,41.14,40.09,0,30.17,0,0.99,0,190,1.52,0,0
15513,4.81,62.44,44.48,8.66,0.78,0,16.18,4.32,2.43,0,0,0,0,11.25,0,110,145,0,0,0
6056,130.87,118.94,46.92,158.52,113.63,0,4.9,106.61,8.91,43.85,168.8,75.64,14.19,0,9.52,7.5,0,7.42,0,0
3566,38.85,85.77,64.97,46.08,26.77,0,1.6,11.63,3.95,6.14,1.19,181.36,6.37,0,2.66,2,186,1.18,0,3.13
11524,52.89,44.64,100.73,24.15,91.27,0,2.85,38.05,34.34,36.49,116.68,65.35,279.85,0,0,0,0,9.15,0,4.24
11644,38.31,84.76,45.23,29.12,52.01,0,18.72,13.05,20.14,11.7,42.64,26.12,49.29,45.68,8.28,1,65,10.2,0,2.55
2920,44.61,43.58,39.96,64.62,154.97,0,6.1,55.84,3.39,40.9,25.94,0,10.78,0,2.97,0,0,0,0,0
7074,94.84,136.48,80.81,80.25,77.57,0,15.68,91.29,11.07,61.32,146.99,0,189.91,9.66,29.59,0,0,26.86,0,14.45
8719,163.41,88.15,95.08,215.45,149.21,0,36.6,68.69,3.75,45.66,41.92,117.82,17.01,70.49,0.39,46.5,0,1.69,0,0
5647,76.17,118.9,58.56,15.11,16.39,0,28.6,32.68,81.05,30.3,14.57,0.84,53.44,0,16.05,289,190,0,0,3.4
15144,146.12,97.46,12.92,77.63,26.1,0,19.27,23.64,0,2.31,73.46,0,53.66,0,8.32,3,0,5.09,0,0
16193,8.71,55.89,174.95,46.67,35.62,0,64.24,7.24,32.26,61.31,0,0,4.25,24.2,0,6,5,22.92,0,1.27
16295,10.04,38.55,36.71,3.5,8.94,0,3.59,6.28,20.98,15.73,0,206.19,27.2,0,4.61,3,270,1.44,0,0
5601,11.68,23.48,55.82,10.76,32.13,0,48.21,1.32,52.89,6.72,2.38,150.96,9.85,0,6.92,16,45,0,0,3.4
7064,53.07,56.85,171.76,22.92,49.98,0,34.87,143.63,139.66,133.14,39.09,0,12.75,4.56,15.33,0,0,3.38,0,0
1623,33.39,65.46,21.55,11.68,22.12,0,5.57,23.45,14.59,31.09,30.89,0,68.83,0.95,10.63,1,145,4.23,0,6.79
7955,117.94,50.65,51.45,59.91,50.63,0,16.16,22.05,33.67,10.93,36.31,5.58,93.35,27.45,9.39,0,5,13.25,0,1.69
14963,10.83,17.47,27.05,11.13,81.79,0,3.69,9.01,0,12.14,6.97,62.47,0,0,0,0,20,0,0,0
16049,20.7,39.99,27.95,50.95,15.87,0,9.02,0.99,0.26,93.73,0,30.28,0,0,0.55,1,5,0,0,0
11651,22.94,41.93,15.93,33.1,24.65,0,33.84,21.6,27.88,21.05,84.77,479.95,15.71,28.95,23.06,28,380,2.85,0,3.39
10505,7.71,30.38,15.14,27.32,17.59,0,0.4,4.85,0.83,8.46,17.59,0,0,0,0,0,0,2.96,0,0
4140,81.2,103.09,131.93,65.46,98.51,0,51.03,87.67,37.64,20.79,56.75,342.33,0,0,0,0,15,17.35,0,1.68
905,291.37,176.58,79.43,206.67,135.55,0,29.05,39.85,37.23,86.32,231.87,0,95.37,55.49,2.55,0,0,0,0,0
667,70.96,60.2,22.85,34.56,59.97,0,7.82,9.08,10.81,36.26,78.7,301.53,0,33.97,1.44,0,20,30.58,24.09,2.12
6350,5.27,16.38,24.05,7.23,27.42,0,19.58,2.39,8.69,35.08,4.26,62.42,147.37,0,0.79,0,185,12.01,0,4.24
16039,15.21,75.17,31.06,21.03,25.87,0,36.6,5.5,105,1.35,0,0,5.78,0,0.69,0,20,0,0,0
788,25.54,29.43,27.53,18.6,36.27,0,9.09,9.31,6.96,15.4,18.34,0,0,0,7.53,0,5,3.26,0,9.74
4976,36.15,91.33,59.89,70.05,42.83,0,8.15,18,26.69,52.58,38.08,276.45,0,51.07,21.14,19,0,2.97,0,0
9556,39.94,67.8,55.09,49.37,73.5,0,57.72,13.2,42.72,1.71,42.95,263.17,253.65,5.67,1.42,15,339,0,0,2.53
1163,43.76,63.27,33.21,52.25,29.62,0,6.38,8.55,10.06,19.21,5.59,0,0,0,12.61,2,0,4.25,0,3.82
5817,48.91,72.44,44.43,83.85,94.76,0,4.45,13.39,19.39,33.58,24.62,66.62,52.19,0,2.24,0,179,0,0,0.84
14586,109.85,22.02,42.86,41.32,51.72,0,2.39,0,15.01,27.63,0,0,0,1.56,3.75,0,0,0,45.21,0
124,16.37,26.51,100.44,84.84,44.21,0,15.3,10.48,7.2,34.28,146.34,0,0,18.59,1.47,0,35,0,0,0
11159,67.47,76,51.5,43.78,72.89,0,31.83,11.59,1.34,8.82,53.84,0,0,11.53,2.18,0,0,8.47,0,12.65
4924,87.88,90.49,52.59,22.27,30.4,0,44.43,11.73,22.92,17.38,117.7,153.24,0,6.31,56.52,9,108.71,0,0,3.56
8061,43.85,25.08,16.05,45.46,24.39,0,2.98,32.07,3.68,13.55,20.63,0,27.42,1.1,2.05,0,0,2.51,0,0
2256,10.96,35.64,39.77,23.01,35.62,0,19.38,7.21,66.19,6.02,24.23,0,25.93,9.01,8.92,2,25,8.5,0,0
2431,202.46,118.91,151.66,233.44,90.58,0,6.4,91.97,43.34,100.46,126.53,0,0,60.05,29.33,0,0,6.76,0,7.19
4776,97.51,59.74,14.45,23.37,48.1,0,11.75,12.34,2.87,4.99,60.14,48.16,0,0,5.51,2,398.9,1.02,0,0
10509,76.83,75.15,107.76,86.35,58.42,0,0.73,56.28,39.66,31.84,113.25,30.89,35.02,42.5,16.53,9,75,0.84,0,0
9604,60.92,121.22,162.51,142.63,134.48,0,44.92,2.97,30.65,21.3,64.47,153.94,37.62,262.19,16.79,40,400,0,0,0
1480,100.49,255.1,202.09,214.71,219.48,0,3.32,15.46,50.57,117.66,123.02,0,68.38,71.46,11.73,11,240,8.51,0,0
14635,35.77,33.46,7.65,132.65,80.49,0,21.98,0,9.82,53.1,33.38,0,3.4,34.2,12.39,0,0,0,0,3.4
15972,10.54,73.21,72.17,69.7,38.27,0,8.07,12.67,86.46,7.12,0,0,10.2,14.14,0,25,398.55,13.86,0.49,6.79
7914,102.34,85.42,52.48,38.12,36.27,0,24.96,61.2,27.31,54.72,68.9,4.53,228.84,6.07,7.52,0,0,9.61,0,0
10271,21.05,57.24,72.79,30.08,86.28,0,11,4.42,85.68,10.63,16.71,510.54,2.55,5.67,15.84,25,50,1.53,0,0
11268,50.59,67.99,46.37,28.39,3.55,0,8.76,26.1,23.08,41.97,17.98,190.48,71.14,6.03,4.05,20,171,15.83,0,12.34
808,155.03,36.04,36.08,80.69,17.04,0,5.6,14.59,1.76,5.13,25.67,0,0,0,0,0,0,0,0,0
13618,251.65,109.57,128.74,112.69,65.18,0,0,122.86,39.47,94.55,52.82,0,63.36,39.82,25.1,0,0,2.53,0,0
15850,11.15,27.68,34.31,51.65,11.09,0,3.48,3.67,5.3,0,2.5,0,1.71,38,10.27,0,0,0,0,0
8335,80.77,47.16,36.21,67.66,20.02,0,5.2,30.62,7.49,9.76,105.94,0,0,0,0.79,0,0,1.23,0,0
4804,42.48,100.25,136.33,43.6,39.4,0,116.65,31.31,72.61,68.69,53.02,145.95,0,12.02,6.39,238.5,10,2.68,0,1.06
9326,60.44,58.18,10.63,35.22,36.82,0,0.65,47.95,3.99,11.31,29.42,2.35,3.4,57.84,4.85,9,0,0,0,0
11143,72.46,17.26,61.18,4.38,25.18,0,28.27,32.16,10.37,3.35,19.73,330.84,10.63,1.49,11.06,51,70,9.89,0,3.31
13254,6.4,7.29,10.26,1.59,7.93,0,0,0.65,0.93,0,0,0,2.55,0,0,1,0,7.85,0,0
11297,302.01,175.75,113.02,202.53,248.06,0,58.05,131.81,80.49,78.47,229.57,0,91.57,25.08,16.82,0,0,7.03,0,5.5
12361,95.48,52.24,11.19,25.61,17.45,0,0,38.85,1.4,14.49,5.98,36.51,3.4,0,0,0,0,1.18,0,4.26
14014,282.62,226.07,125.33,70.13,278.02,0,0,202.34,51,3.38,59.99,0,26.44,0,7.5,0,0,9.09,0,31.67
535,127.04,82.88,59.98,152.28,87.2,0,15.51,26.29,25.34,124.23,106.6,0,8.5,0,0,0,0,0,62.34,0
2852,92.11,55.92,69.69,78.37,62.78,0,1,48.12,15.28,55.99,72.24,0,0,106,1.67,0,0,0,6.12,0
13895,3.09,8.14,4.68,5.6,10.68,0,0,0,5.66,0,7.5,24.72,0,0,0,0,30,0,0,0
2568,103.39,45.23,30.29,36.72,30.17,0,90.73,5.08,5.19,3.27,16.07,0,21.27,68.01,3.27,0,0,0,0,0
16227,12.71,27.02,21.41,12.57,10.26,0,1.58,4.67,40.9,25.87,0,233.78,6.37,14.2,7.41,0,0,0,0,0
11937,12.7,6,31.22,13.66,0,0,0.35,8.57,4.08,11.31,3,0,283.73,3.54,0.89,9,0,3.59,0,0
6170,59.04,26.33,10.43,22.93,18.33,0,8.18,11.2,9.47,21.27,46.33,12.76,102.1,0,7.38,0,0,2.19,0,0
2198,13.02,121.9,106.74,82.2,293.96,0,22.51,37.69,28.64,107.81,42.16,0,109.56,19.63,6.93,0,0,13.7,26.99,15.36
6024,5.77,17.59,8.02,57.58,14.8,0,12.42,20.05,5.38,0.85,27.85,29.92,18.7,0,2.58,0,0,24.03,0,0
12934,23.85,28.41,4.94,9.72,9.48,0,0,0.75,9.87,9.48,10.85,0,117.26,2.99,0.89,7,0,7.79,0,0
9435,75.81,98.49,54.32,35.65,36.08,0,2.73,67.73,19.46,6.33,75.45,45.35,65.45,38.48,7.81,30,0,6.81,0,4.67
2795,19.77,36.88,26.95,11.01,9.52,0,4,21.87,4.69,11.53,33.13,0,0,0,7,0,0,0,0,0
11737,75.28,94.04,170.01,314.99,125.29,0,205.94,27.4,114.14,76.19,141.88,0,116.9,1.9,23.96,90,20,21.63,0,0.84
4305,28.92,51.39,20.19,25.52,14.64,0,9.1,12.25,2.96,4.45,10.21,6.14,0,0,0,0,90,0,0,0
5399,44.07,40.83,31,29.69,24.23,0,12.11,17.26,2.61,14.97,9.82,156.19,46.11,0,0.89,0,220,0,0,1.69
4812,20.07,52.57,49.66,59.86,21.67,0,26.07,1.65,7.14,18.66,84.68,349.09,0,2.7,14.17,12,20,0,0,0
14734,10.29,25.85,6.25,10.42,2.45,0,5.85,0,0.76,3.65,2.99,572.54,0,0,2.38,0,10,0,0,0
12269,28.87,23.49,18.78,111.45,102.23,0,0,50.51,1.28,48.12,212.58,0,0,189.27,0,0,0,0,0,0
8062,73.14,43.82,25.47,52.95,48.49,0,2.14,61.2,20.8,39.18,68.32,0,0,8.24,2.67,0,0,6.64,0,0
1979,31.28,65.04,115.97,28.65,11.09,0,10.04,42.55,39.17,9.04,8.39,0,8.07,42.6,22.39,7,0,0,0,0
15939,75.66,125.48,34.83,66.6,87.33,0,8.12,2.18,8.63,11.21,0,0,6.8,0,4.43,0,0,1.69,0,0
12047,118.78,39.78,45.46,99.44,6.95,0,0,38.35,4.94,70.59,62.11,0,19.56,8.07,3.24,0,0,1.27,0,0
7576,154.14,57.63,61.34,122.9,62.55,0,1.4,25.87,15.53,33.48,56.4,0,48.86,26.49,45.88,0,20,2.57,0,5.11
14656,4.54,5.16,34.96,3,1.69,0,23.45,0,0.84,3.54,44.06,4.31,3.82,2.45,0,2,20,0,0,0
15978,22.86,62.73,53.94,46.46,84.21,0,6.79,6.34,24.37,49.91,0,0.55,0,4.55,32.81,1,0,7.65,0,0
669,14.69,18.41,6.53,3.47,23.08,0,18.7,9.16,37.35,4.98,47.19,22.32,319.54,0,0.99,12.5,0,2.97,0,1.66
3763,21.25,81.06,75,42.47,31.56,0,38.99,2.65,3.28,26.48,36.42,833.96,0,28.09,64.03,0,0,4.95,0,0
12467,24.93,8.78,2.9,4.15,0.67,0,0,0,1.41,0,0,0,17.94,0,0,10,0,4.63,0,0
9320,33.32,231.81,179.69,48.14,132.86,0,61.91,39.99,63.87,31.68,44.78,32.56,19.65,10.79,12.59,234,0,6.96,0,0
215,41.02,27.95,27.9,63.91,78.18,0,0.42,22.75,12.77,56.73,38.95,0,0,5.76,3.45,0,0,5.43,0,9.69
10928,82.97,42.42,31.6,40.81,22.43,0,5.55,11.73,0.84,2.55,24.23,0,27.21,26.83,7.29,0,0,0.84,0,4.92
3781,31.22,26,11.9,13.61,12.17,0,126.67,15.84,3.35,9.91,22.41,0.79,0,2.8,14.17,107,43,0,0,1.44
5025,79.17,54.84,20.81,77.79,76.14,0,16.54,23.13,9.66,36.37,39.92,265.56,0,137.2,0,13.5,221.62,0,0,3.4
12889,3.51,8.86,10.84,13,16.17,0,0,15.57,4.71,12.28,18.96,57.75,0,4.2,0.79,4,105,0,0,0
7849,52.59,92.42,121.9,70.41,114.41,0,11.36,56.94,22.13,14.94,75.91,27.35,14.55,20.41,16.2,0,15,25.55,0,11.5
5989,33.84,12.71,11.45,20.53,11.59,0,14.5,3.99,2.01,4.67,14.02,34.28,2.55,0,1.59,4,0,0.84,0,0
12510,20.59,46.17,30.75,32.56,14.02,0,0,9.58,2.62,42.77,65.03,50.89,3.4,0,9.92,0,0,4.17,0,0
4149,75.8,40.55,24.88,36.26,19.6,0,1.7,9.24,3.39,20.46,20.16,442.29,0,16.87,0,20,0,0.84,0,9.16
3363,134.26,69.66,36.64,11.6,28.98,0,11.5,0.5,0.33,6.18,13.99,0,0,1.5,0,0,0,0,0,0
15601,23.22,32.7,14.67,20.39,17.52,0,3.95,3.6,24.74,0,190.83,0,22.54,0,0.99,0,10,3.4,0,0
792,72.4,69.53,29.7,52.59,4.27,0,11,81.37,3.67,8.77,97.44,365.1,3.82,15.6,3.56,185,204,0,0,0
15463,10.1,5.94,9.54,11.09,16.46,0,3.84,2.78,0,4.36,48.03,0,11.9,3.54,0,0,40,12.75,0,2.68
2669,16.91,17.31,2.92,7.53,9.1,0,0.8,9.18,6.06,32.25,14.76,0,0,17.04,17.52,64,0,19.72,20.97,0
14060,8.8,12.23,58.13,96.74,114.8,0,0,70.7,0,32.79,16.55,8.72,0,0,0,66,0,0,0,0
13537,45.06,16.45,24.16,254.08,28.65,0,0,19.23,5.59,0,3.06,0,0,0.1,0.6,0,44,0,0,0
4745,3.59,8.44,10,5.72,11.89,0,4.35,6.39,15.93,1.99,11.75,0.84,0,1.62,0,0,49,2.89,3.04,0
5927,18.2,42.37,24.47,25.77,84.01,0,4.2,25.17,29.69,11.68,29.92,2.4,31.5,0,3.13,3,0,2.55,0,0
12286,3.66,2.54,5.32,9.24,0.55,0,0,0,5.53,5.57,3.09,59.21,269.89,12.03,0,0,15,12.68,0,0
6762,78.03,193.39,64.01,93.07,51.27,0,11.6,19.09,2.41,18.87,19.84,"1,279.96",2.02,3.99,0,117.5,23,0,0,0
8623,59.82,28.15,69.38,9.09,44.07,0,8.58,37.57,1.81,21.25,20.77,281.37,63.12,2.2,5.34,0,20,6.72,0,0
12345,13.78,15.46,18.95,20.85,20.14,0,0,8.26,6.84,2.71,2.87,0,0,2.59,0,0,0,0,0,0
572,39.98,16.83,43.84,13.48,3.63,0,42.75,8.79,10,19.85,20.85,271.84,0,37.07,10.98,19,0,13.91,5.92,3.4
14375,13.54,21.73,21.96,2.34,9.22,0,6.16,0,3.86,0.99,0,23.46,4.68,0,10.32,0,0,0.3,0,8.52
3760,10.06,2.29,14.25,4.47,2.71,0,0.76,1.18,0.93,5.65,3.99,4.04,0,7.73,0,0,0,0,0,0
6471,102.6,136.33,56.28,91.49,62.09,0,1.45,16.54,19.96,33.25,61.75,2.17,7.56,34.82,0,0,0,13.49,52.4,0
5431,40.08,119.94,96.31,79.86,95.48,0,4.35,66.09,38.76,25.67,75.34,4.04,160.61,0,15.02,0,200.5,2.64,0,2.12
11845,1.34,4.13,2.25,0,4.58,0,1.48,6.64,0,0,0,598.71,141.51,0,0,0,0,1.27,0,0
4801,0,16.17,42.38,44.17,0,0,1.99,42.64,7.02,0,1.49,15.36,0,0,7.04,0,0,1.94,0,0
7554,146.36,83.6,69.43,17.98,115.76,0,2.1,1.38,8.01,150.47,73.66,0,0,0,15,0,0,0,0,1.6
1223,85.68,86.04,23.89,119.33,43.01,0,6.9,53.81,1.69,21.42,100.1,0,5.77,0,37.24,0,38,1.68,0,0
9328,202.32,137.44,200.83,88.07,66.06,0,9.2,108.98,18.75,131.44,95.87,0,0,12.18,5.21,92,0,1.44,0,0
12027,72.02,121.37,68.38,28.41,34.74,0,0,7.98,8.71,9.65,93.14,0,8.49,40.23,0,0,0,0,0,0
10168,132.6,44.21,39.39,29.56,103.46,0,22.94,62.16,38.43,48.55,62.47,196.73,4.25,33.42,22.02,0,0,3.36,0,0
14377,18.38,16.87,1.68,61.99,101.16,0,37.7,0,0,0,22.94,0,57.56,0,0,0,0,0,0,0
2614,216.69,56.32,116.75,140.24,289.06,0,1.65,98.04,113.43,62.47,25.26,0,21.52,0,23.1,0,10.1,7.33,0,0.67
11559,15.72,15.72,62.95,13.66,90.34,0,7,2.94,29.1,7.06,10.07,0,0,3.9,9.03,2,50,2.53,0,0.84
7146,61.96,37.76,22.81,32.94,25.83,0,2.9,47.51,8.83,10.19,64.98,0,134.65,12.9,3.39,0,0,0,0,0
257,6.73,125.2,122.26,95.93,78.48,0,6.68,25.43,80.61,20.76,19.64,0,0,2.46,6.33,0,0,0,0,0
9492,13.09,14.89,10.69,13.5,23.8,0,17.76,30.02,4.75,53.87,5.27,0,123.02,0,1.12,6,80,32.92,0,0
6220,60.2,30.74,8.71,19.03,22.23,0,46.5,6.45,26.62,11.61,39.54,762.33,32.13,0,8.49,0,0,0,0,0
10197,21.46,75.21,16.58,18.56,1.9,0,38.67,12.16,17.91,3.48,12.97,37.63,24.61,4.07,24.31,19.5,5,3.39,0,0
6229,44.6,113,101.19,71.48,66.8,0,12.88,42.05,30.13,24.92,87.49,35.6,47.71,0,26.47,0,10,82.81,0,8.5
13801,53.37,62.19,40.43,159.47,165.3,0,0,106.56,8.66,19.81,94.68,212.87,56.08,1.2,4.14,12,40,1.15,0,0
8341,22.89,7.22,43.7,11.83,12.68,0,10.02,16.99,11.25,1.25,8.78,0,42.75,4.2,2.68,0,0,2.89,0,0.84
10635,18.36,44.14,26.78,22.64,16.86,0,15.63,34.51,65.18,24.84,63.29,0,267.57,0,0,72,0,3.46,0,0
15276,16.53,18.17,10.77,5.16,5.34,0,1.28,7.25,0,25.67,2.49,91.21,0,15.47,0,5,0,0,0,0
2642,51.12,130.53,66.25,143.88,90.95,0,32.7,56.06,30.33,35.95,57.11,0,9.35,0.89,10.7,0,0,0,0,1.51
362,57.36,192.08,19.09,116.91,31.19,0,11.2,16.67,17.75,44.68,14.24,0,0,0,1.44,0,0,33.82,0,6.8
6428,145.89,112.57,83.3,77.39,84.85,0,3.28,12.6,30.95,15.85,57.55,0,4.91,0,11.22,0,0,7.62,0,3.4
10093,207.46,161.33,98.59,131.07,145.54,0,5.36,11.34,9.18,33.27,101.86,0,0,71.97,17.41,0,0,4.12,0,0
13600,32.93,46.83,35.04,16.44,76.58,0,0,16.37,4.5,66.34,41.6,0,0,1.89,10.96,0,5,0,0,3.13
10425,35.37,50.43,61.5,61.28,12.62,0,1.49,14.44,5.99,40.49,15.35,0,0,0,4,0,0,0.84,0,10.6
15455,100.95,48.41,23.12,21.69,7.59,0,1.4,20.98,0,29.85,52.9,2.18,1.61,0,0,0,45,0,0,5.32
1904,53.05,74.07,32.01,11.78,19.43,0,1.1,36.88,2.01,10.69,7.68,0,0,13.75,14.75,38,0,2.98,0,1.52
13166,88.34,170.95,48.87,120.86,45.81,0,0,6.91,4.3,85.31,122.56,7.39,131.99,0,0,0,0,2.55,0,3.82
12844,62.96,23.41,39.86,16.8,56.88,0,0,0,0,9.52,141.94,0,21.22,34.25,0.79,0,0,4.73,0,0
4455,66.43,63.94,87.22,97.86,178.22,0,11.88,24.1,45.66,38.04,75.1,766.6,0,137.46,1.19,117,240,4.25,0,10.63
13659,26.41,29.12,34.82,19.91,35.09,0,0,5.92,3.51,47.5,20.38,32.2,29.32,3.16,1.09,0,0,5.75,0,0
13072,118.56,73.18,34.4,52.92,49.45,0,0,25.95,28.74,48.34,118.33,7.54,20.03,0,8.09,0,10,9.8,11.48,3.4
2225,87.11,172.38,164.56,150.81,478.55,0,4.49,131.58,79.56,320.59,50.92,0,8.83,28.32,18.79,0,0,5.95,0,24.62
14663,33.06,6.41,33.61,20.76,28.01,0,12.25,0,31.92,0,13.47,25.87,36.48,0,0,24,10,14.97,0,3.64
5948,81.77,40.18,30.28,27.7,11.51,0,3.23,2.82,6.65,17.36,31.16,261.5,11.05,0,3.56,104.5,176.44,5.39,0,0
4063,70.78,30.73,53.03,35.47,112.06,0,18.85,12.4,34.61,24.07,36.27,348.84,0,3.94,7.43,0,549.5,7.48,0,0.84
10985,9.89,47.14,39.32,23.12,35.1,0,0.75,20.51,14.61,30.75,5.97,0.61,165.2,36.29,4.55,0,0,5.78,0,1.95
7418,38.37,82.58,104.77,164.15,87.6,0,0,13.83,11.46,89.56,0,99.33,0,18.79,5.64,2,0,0,0,0
9154,41.12,51.07,68.82,65.5,55.2,0,10.45,24.45,0.24,65,120.74,3.48,1.69,0,16.85,68,0,6.79,11.22,1.69
1676,67.39,215,158.22,55.59,161.24,0,8.12,42.11,45.84,58.34,89.19,0,0,11.8,2.97,0,0,20.92,0,12.78
3468,162.16,55.23,91.07,153.74,60.55,0,11.12,107.12,1.06,6.94,157.43,0,0,0,0.99,0,0,0,0,0
12356,4.83,6.41,2.5,0.91,4.04,0,0,1.5,0,5.98,13.37,15.29,18.68,2,0.4,0,0,5.48,0,0
