customer_number,baskets,total_quantity,average_quantity,total_spend,average_spend
5377,921,990,1.074918567,"1,660.63",1.8
11641,897,1274,1.420289855,"1,296.18",1.45
786,614,641,1.043973941,444.8,0.72
12482,230,291,1.265217391,414.47,1.8
8812,616,754,1.224025974,795.28,1.29
7302,611,800,1.309328969,"1,298.83",2.13
787,1010,1157,1.145544554,"1,232.69",1.22
11896,172,240,1.395348837,"1,028.34",5.98
12480,349,463,1.326647564,558.2,1.6
10008,443,599,1.35214447,"1,073.48",2.42
7303,548,611,1.114963504,795.13,1.45
15967,468,617,1.318376068,663.17,1.42
7299,215,309,1.437209302,637.84,2.97
12489,649,696,1.072419106,713.64,1.1
795,104,146,1.403846154,148.71,1.43
12485,176,216,1.227272727,533.74,3.03
12490,115,149,1.295652174,190.77,1.66
12483,229,263,1.148471616,285.57,1.25
14910,100,125,1.25,384.97,3.85
14412,82,87,1.06097561,193.27,2.36
14409,116,231,1.99137931,689.8,5.95
8813,439,502,1.143507973,985.8,2.25
9564,673,772,1.147102526,"1,158.77",1.72
808,456,488,1.070175439,412.31,0.9
827,485,547,1.127835052,412.21,0.85
8819,192,219,1.140625,688.11,3.58
838,317,465,1.466876972,625.43,1.97
828,649,694,1.069337442,762.72,1.18
15972,481,507,1.054054054,859.78,1.79
15970,260,367,1.411538462,"1,275.25",4.9
7314,878,943,1.074031891,868.6,0.99
832,506,723,1.428853755,577.26,1.14
7329,722,861,1.192520776,"1,320.63",1.83
7330,258,322,1.248062016,429.66,1.67
825,184,192,1.043478261,284.43,1.55
7331,657,830,1.263318113,"1,100.11",1.67
846,585,716,1.223931624,998.3,1.71
848,450,486,1.08,522.05,1.16
11362,692,781,1.128612717,906.54,1.31
850,225,251,1.115555556,240.01,1.07
12510,188,241,1.281914894,342.82,1.82
12508,306,399,1.303921569,322.98,1.06
5393,463,593,1.280777538,666.49,1.44
12511,193,197,1.020725389,397.94,2.06
11565,37,40,1.081081081,156.61,4.23
12522,233,322,1.381974249,446.11,1.91
12517,379,430,1.134564644,505.22,1.33
11249,834,978,1.172661871,"1,416.04",1.7
12520,339,549,1.619469027,312.17,0.92
858,447,529,1.18344519,601.44,1.35
15568,306,461,1.506535948,401.61,1.31
10000,1465,1746,1.191808874,"1,511.49",1.03
11559,205,244,1.190243902,336.13,1.64
12523,431,546,1.266821346,943.12,2.19
859,197,239,1.21319797,283.32,1.44
7334,821,909,1.107186358,"1,075.83",1.31
14920,54,64,1.185185185,80.14,1.48
3940,170,192,1.129411765,208.93,1.23
10945,915,985,1.076502732,"1,019.16",1.11
867,232,276,1.189655172,236.66,1.02
12530,629,705,1.120826709,928.01,1.48
15571,548,711,1.297445255,532.34,0.97
15978,301,460,1.528239203,427.17,1.42
5399,319,391,1.225705329,709.09,2.22
11572,174,217,1.247126437,304.3,1.75
14922,49,56,1.142857143,129.85,2.65
15573,273,344,1.26007326,436.42,1.6
3945,783,876,1.118773946,"1,410.78",1.8
11114,1271,1806,1.420928403,"2,272.90",1.79
12537,482,562,1.165975104,609.98,1.27
7336,500,588,1.176,710.22,1.42
11190,512,754,1.47265625,802.29,1.57
871,649,949,1.462249615,940.31,1.45
12538,150,177,1.18,193.48,1.29
11706,380,431,1.134210526,639.24,1.68
5407,300,392,1.306666667,394.17,1.31
12541,764,851,1.113874346,800.43,1.05
3947,417,496,1.189448441,"1,062.33",2.55
872,464,509,1.096982759,637.97,1.37
15980,435,491,1.128735632,607.1,1.4
10822,570,669,1.173684211,849.23,1.49
10013,584,729,1.248287671,892.16,1.53
7346,133,165,1.240601504,328.78,2.47
11349,570,619,1.085964912,984.66,1.73
3953,379,494,1.303430079,472.1,1.25
3949,493,653,1.324543611,946.69,1.92
12545,677,827,1.221565731,"1,558.85",2.3
8833,1369,1488,1.086924763,"1,843.62",1.35
8836,443,458,1.033860045,535.01,1.21
7345,1073,1271,1.184529357,"1,791.58",1.67
7342,601,663,1.103161398,"1,151.77",1.92
12548,207,276,1.333333333,634.35,3.06
6558,310,325,1.048387097,427.77,1.38
7365,266,315,1.184210526,535.76,2.01
896,283,338,1.19434629,401.89,1.42
8841,968,1228,1.268595041,"1,537.90",1.59
7362,448,494,1.102678571,854.09,1.91
8844,836,1001,1.197368421,872.67,1.04
12557,849,1076,1.26737338,"1,852.91",2.18
898,624,689,1.104166667,"1,007.53",1.61
11038,976,1494,1.530737705,"1,739.10",1.78
12550,394,416,1.055837563,459.48,1.17
10015,249,263,1.0562249,748.73,3.01
11194,1368,1708,1.248538012,"1,906.69",1.39
12563,159,211,1.327044025,251.01,1.58
3967,130,153,1.176923077,229.34,1.76
11676,696,821,1.179597701,"1,116.30",1.6
912,311,416,1.337620579,592.45,1.9
12562,101,109,1.079207921,183.27,1.81
11357,246,268,1.089430894,332.91,1.35
14427,529,643,1.215500945,766.43,1.45
914,580,700,1.206896552,753.79,1.3
905,1053,1173,1.113960114,"1,535.30",1.46
906,322,367,1.139751553,472.62,1.47
910,565,654,1.157522124,711.94,1.26
14931,537,609,1.134078212,890.19,1.66
7359,406,494,1.216748768,549.37,1.35
3961,1591,2042,1.283469516,"1,957.82",1.23
12569,637,826,1.296703297,"1,429.72",2.24
12570,312,378,1.211538462,701.7,2.25
14932,525,553,1.053333333,766.66,1.46
919,126,207,1.642857143,242,1.92
15588,376,474,1.260638298,503.07,1.34
925,54,67,1.240740741,81.76,1.51
11592,769,861,1.119635891,"1,793.09",2.33
14428,418,493,1.179425837,541.97,1.3
12574,208,335,1.610576923,777.49,3.74
6562,1083,1302,1.202216066,"1,510.24",1.39
10022,1785,1911,1.070588235,"2,602.79",1.46
921,895,1068,1.193296089,"1,342.48",1.5
8840,2040,2409,1.180882353,"2,431.70",1.19
3978,802,871,1.086034913,962.44,1.2
12576,260,314,1.207692308,248.98,0.96
3968,106,125,1.179245283,270.42,2.55
12573,243,303,1.24691358,315.77,1.3
10023,620,712,1.148387097,"1,110.96",1.79
937,493,621,1.259634888,"1,155.45",2.34
942,362,436,1.20441989,646.4,1.79
3973,195,234,1.2,316.6,1.62
5431,828,907,1.095410628,"1,060.20",1.28
935,489,576,1.17791411,576.91,1.18
8851,347,394,1.135446686,839.89,2.42
11905,179,236,1.318435754,232.58,1.3
945,180,237,1.316666667,328.02,1.82
5426,1000,1139,1.139,"1,253.95",1.25
7372,424,485,1.143867925,581.24,1.37
946,634,746,1.176656151,"1,055.42",1.66
951,305,327,1.072131148,338.9,1.11
7379,652,745,1.142638037,892.35,1.37
8862,1378,1746,1.267053701,"1,560.77",1.13
6565,767,960,1.251629726,"1,764.45",2.3
10030,681,795,1.167400881,"1,216.85",1.79
953,378,415,1.097883598,457.6,1.21
7368,160,170,1.0625,223.53,1.4
11649,497,543,1.092555332,810.44,1.63
5869,116,133,1.146551724,378.46,3.26
3990,409,538,1.315403423,679.86,1.66
12596,262,346,1.320610687,404.9,1.55
3997,465,625,1.344086022,677.43,1.46
5440,83,95,1.144578313,156.13,1.88
972,170,200,1.176470588,183.61,1.08
977,714,803,1.12464986,"1,239.92",1.74
974,445,593,1.33258427,843.44,1.9
10862,363,405,1.115702479,444.7,1.23
11530,1514,2089,1.379788639,"3,057.17",2.02
7384,1040,1124,1.080769231,"1,076.40",1.04
12598,467,548,1.173447537,620.03,1.33
8863,876,951,1.085616438,894.55,1.02
7385,1433,1600,1.11653873,"1,982.45",1.38
7386,1020,1262,1.237254902,"2,196.03",2.15
12606,417,466,1.117505995,623.55,1.5
10873,734,857,1.167574932,"1,758.91",2.4
10041,210,250,1.19047619,378.72,1.8
11524,489,582,1.190184049,926.4,1.89
1379,128,154,1.203125,415.21,3.24
12611,421,480,1.140142518,512.6,1.22
5871,248,318,1.282258065,369.35,1.49
12613,151,230,1.523178808,346.9,2.3
14442,394,479,1.215736041,607.05,1.54
12616,504,572,1.134920635,446.74,0.89
12618,255,292,1.145098039,839.88,3.29
4006,126,144,1.142857143,223.9,1.78
5460,767,976,1.272490222,"2,134.11",2.78
7401,322,354,1.099378882,431.64,1.34
7399,223,275,1.233183857,381.09,1.71
14445,69,85,1.231884058,250.02,3.62
14444,319,394,1.235109718,622.47,1.95
5453,352,443,1.258522727,560.3,1.59
9588,682,769,1.127565982,608.84,0.89
5455,359,430,1.197771588,565.47,1.58
14951,517,602,1.164410058,719.15,1.39
6569,627,723,1.153110048,915.44,1.46
12628,436,555,1.27293578,819.58,1.88
7414,574,661,1.151567944,906.24,1.58
4020,389,421,1.082262211,380.33,0.98
1008,1842,2104,1.142236699,"2,365.36",1.28
1019,688,738,1.072674419,"1,407.43",2.05
6566,556,595,1.070143885,506.97,0.91
14446,502,538,1.071713147,527.07,1.05
8876,226,287,1.269911504,418.29,1.85
5457,393,401,1.020356234,378.04,0.96
7405,637,814,1.277864992,878.72,1.38
1018,819,963,1.175824176,970.06,1.18
1024,143,153,1.06993007,151.19,1.06
12635,347,469,1.351585014,770.97,2.22
1015,81,109,1.345679012,132.48,1.64
11911,251,345,1.374501992,546.41,2.18
1037,376,447,1.188829787,511.63,1.36
1030,159,196,1.232704403,181.34,1.14
15596,233,398,1.708154506,617.6,2.65
7406,633,801,1.265402844,"1,164.53",1.84
7407,495,635,1.282828283,"1,068.68",2.16
4024,119,180,1.512605042,225.69,1.9
4025,440,513,1.165909091,618.19,1.4
5470,759,906,1.193675889,"1,225.72",1.61
12640,353,395,1.11898017,354.48,1
12641,624,743,1.190705128,"1,007.27",1.61
12644,253,339,1.339920949,339.94,1.34
4028,526,610,1.159695817,540.47,1.03
4030,598,637,1.065217391,616.6,1.03
7418,534,648,1.213483146,769.81,1.44
7428,294,404,1.37414966,533.02,1.81
11701,116,125,1.077586207,253.93,2.19
1043,557,670,1.202872531,769.18,1.38
1045,103,133,1.291262136,166.05,1.61
11816,24,29,1.208333333,71.45,2.98
1046,565,710,1.256637168,"1,286.67",2.28
12647,544,714,1.3125,684.57,1.26
12650,77,106,1.376623377,129.82,1.69
11475,1757,2363,1.34490609,"4,446.80",2.53
5467,1074,1572,1.463687151,"1,228.99",1.14
7422,179,210,1.173184358,310.9,1.74
1050,205,240,1.170731707,391.68,1.91
11286,448,509,1.136160714,757.95,1.69
14962,274,297,1.083941606,300.24,1.1
14963,279,364,1.304659498,264.19,0.95
6573,1082,1298,1.199630314,"1,877.72",1.74
5472,385,412,1.07012987,470.03,1.22
1060,384,432,1.125,668.68,1.74
7436,343,381,1.110787172,569.09,1.66
4035,263,372,1.414448669,451.81,1.72
11560,726,789,1.08677686,713.41,0.98
7433,355,442,1.245070423,567.57,1.6
12657,298,358,1.201342282,439.4,1.47
1071,300,351,1.17,358.14,1.19
16002,219,328,1.497716895,285.15,1.3
1064,465,541,1.16344086,783.87,1.69
15601,200,315,1.575,376.16,1.88
1074,275,317,1.152727273,349.87,1.27
1073,642,722,1.124610592,848.79,1.32
1075,232,271,1.168103448,271.2,1.17
12668,1058,1336,1.262759924,"1,310.12",1.24
11288,885,1012,1.143502825,"1,179.40",1.33
1076,429,437,1.018648019,418.58,0.98
10072,134,163,1.21641791,425.52,3.18
1083,406,495,1.219211823,647.31,1.59
14967,854,1032,1.208430913,"2,000.22",2.34
5492,314,348,1.108280255,395.92,1.26
1081,372,417,1.120967742,403.79,1.09
7435,365,394,1.079452055,529.04,1.45
11441,668,725,1.085329341,885.02,1.32
4047,729,1143,1.567901235,"1,318.51",1.81
5485,229,264,1.152838428,507.06,2.21
1078,224,253,1.129464286,215.26,0.96
11164,1027,1319,1.284323272,"1,636.50",1.59
7448,422,487,1.154028436,550.85,1.31
1540,32,39,1.21875,113.93,3.56
6022,57,62,1.087719298,80.27,1.41
12675,164,224,1.365853659,206.65,1.26
4042,279,347,1.243727599,370.11,1.33
15604,603,807,1.338308458,813.44,1.35
7460,397,511,1.287153652,858.84,2.16
9584,262,308,1.175572519,566.06,2.16
7458,718,1203,1.675487465,"1,418.84",1.98
4044,344,360,1.046511628,499.76,1.45
7454,691,785,1.136034732,"1,020.59",1.48
1096,286,340,1.188811189,582.47,2.04
15605,174,238,1.367816092,297.12,1.71
7462,872,1004,1.151376147,941.29,1.08
1089,65,91,1.4,154.58,2.38
4045,777,1117,1.437580438,"1,123.24",1.45
12682,221,283,1.280542986,753.6,3.41
14974,213,241,1.131455399,399.03,1.87
11180,323,389,1.204334365,579.9,1.8
10086,249,283,1.136546185,286.69,1.15
12687,878,1112,1.266514806,"1,218.95",1.39
10087,777,920,1.184041184,"1,486.08",1.91
11265,642,790,1.230529595,886.35,1.38
5502,490,546,1.114285714,"1,179.91",2.41
5503,175,219,1.251428571,399.28,2.28
4051,380,479,1.260526316,468.61,1.23
9586,565,704,1.246017699,709.25,1.26
14976,356,470,1.320224719,506.23,1.42
1101,317,360,1.135646688,588.01,1.85
8893,620,790,1.274193548,"1,017.45",1.64
1113,575,713,1.24,662.78,1.15
9587,661,765,1.157337368,"2,683.55",4.06
1117,383,454,1.18537859,437.21,1.14
4053,303,447,1.475247525,764.75,2.52
1118,621,673,1.08373591,767.9,1.24
1109,468,552,1.179487179,777.76,1.66
10093,886,916,1.033860045,"1,047.19",1.18
10094,459,546,1.189542484,511.3,1.11
14979,114,137,1.201754386,192.58,1.69
7470,369,409,1.108401084,560.75,1.52
12693,290,380,1.310344828,655.87,2.26
5501,884,967,1.093891403,"1,433.92",1.62
1121,191,211,1.104712042,332.57,1.74
5498,764,953,1.247382199,"1,623.21",2.12
10098,538,584,1.085501859,925.02,1.72
1122,1040,1210,1.163461538,"1,150.55",1.11
5518,348,472,1.356321839,856.56,2.46
4063,625,712,1.1392,"1,371.35",2.19
1129,502,606,1.207171315,877.87,1.75
1128,316,358,1.132911392,845.68,2.68
4066,211,255,1.208530806,260.56,1.23
12703,322,414,1.285714286,762.04,2.37
12705,726,905,1.246556474,"1,078.31",1.49
12707,168,188,1.119047619,271.63,1.62
4070,638,750,1.175548589,942.68,1.48
7479,211,234,1.109004739,331.45,1.57
15609,378,417,1.103174603,759.98,2.01
4073,885,931,1.051977401,874.03,0.99
4069,294,318,1.081632653,592.48,2.02
5512,496,666,1.342741935,979.9,1.98
4075,290,361,1.244827586,620.61,2.14
7484,243,265,1.090534979,300.8,1.24
12711,232,253,1.090517241,390.5,1.68
7478,201,236,1.174129353,283.38,1.41
8888,515,611,1.186407767,832.38,1.62
14459,177,208,1.175141243,473.88,2.68
9592,1051,1131,1.076117983,"1,259.41",1.2
14984,116,132,1.137931034,202.74,1.75
1147,335,401,1.197014925,439.69,1.31
14982,170,235,1.382352941,200.68,1.18
1143,454,599,1.31938326,520.02,1.15
1145,294,345,1.173469388,488.66,1.66
12719,803,1010,1.257783313,"1,120.64",1.4
5510,370,457,1.235135135,606.42,1.64
12721,73,90,1.232876712,162.69,2.23
6590,520,595,1.144230769,474.88,0.91
9593,452,521,1.152654867,713.45,1.58
7494,684,824,1.204678363,867.8,1.27
7499,713,763,1.070126227,633.48,0.89
4084,205,270,1.317073171,289.13,1.41
1152,939,1208,1.286474973,"1,557.49",1.66
1149,902,1206,1.337028825,"1,333.99",1.48
6587,522,581,1.11302682,968.42,1.86
6588,405,471,1.162962963,420.49,1.04
4083,587,632,1.076660988,603.63,1.03
10107,579,718,1.240069085,702.47,1.21
4079,1224,1627,1.329248366,"1,898.04",1.55
4082,169,237,1.402366864,244.61,1.45
12733,377,598,1.586206897,550.72,1.46
8911,1283,1440,1.122369447,"2,300.17",1.79
1163,326,396,1.214723926,302.99,0.93
12731,234,259,1.106837607,375.7,1.61
10108,834,959,1.149880096,"1,359.91",1.63
1168,668,808,1.209580838,982.61,1.47
7518,403,541,1.342431762,835.54,2.07
12738,383,442,1.154046997,573.47,1.5
7513,157,226,1.439490446,252.64,1.61
12735,283,494,1.745583039,452.87,1.6
8909,527,629,1.193548387,951.67,1.81
12739,178,236,1.325842697,418.04,2.35
1172,627,689,1.098883573,881.68,1.41
4086,409,516,1.261613692,511.97,1.25
10113,572,617,1.078671329,863.77,1.51
10114,266,305,1.146616541,485.51,1.83
1174,189,226,1.195767196,291.55,1.54
6600,505,637,1.261386139,"1,089.90",2.16
5530,298,350,1.174496644,614.84,2.06
11456,2051,2080,1.014139444,"2,869.27",1.4
5542,317,355,1.119873817,431.3,1.36
14995,313,394,1.258785942,559.3,1.79
12746,409,429,1.048899756,463.96,1.13
7516,1549,2052,1.324725629,"3,676.46",2.37
4098,291,329,1.130584192,470.53,1.62
12744,1129,1414,1.252435784,"1,397.35",1.24
5540,497,548,1.102615694,485.66,0.98
14464,139,175,1.258992806,250.08,1.8
10129,385,527,1.368831169,568.76,1.48
7517,344,386,1.122093023,438.96,1.28
12753,297,333,1.121212121,638.39,2.15
9600,715,851,1.19020979,"1,052.42",1.47
5533,295,374,1.26779661,420.16,1.42
15616,211,233,1.104265403,279.6,1.33
1195,635,768,1.209448819,780.54,1.23
11753,95,102,1.073684211,406.99,4.28
15617,182,188,1.032967033,282.17,1.55
7531,233,268,1.150214592,361.23,1.55
1201,546,684,1.252747253,976.1,1.79
8912,1925,2475,1.285714286,"3,764.81",1.96
1206,956,1108,1.158995816,870.15,0.91
9611,1766,2046,1.158550396,"2,597.04",1.47
14998,129,144,1.11627907,218.99,1.7
1212,284,378,1.330985915,547.99,1.93
6602,518,576,1.111969112,"1,038.09",2
11528,1210,1396,1.153719008,"2,108.16",1.74
10126,1057,1378,1.303689688,"1,474.10",1.39
1218,131,144,1.099236641,137,1.05
10869,996,1280,1.285140562,"1,803.61",1.81
14999,360,405,1.125,699.67,1.94
5543,527,593,1.125237192,"1,085.25",2.06
1233,277,333,1.202166065,360.19,1.3
1226,888,997,1.122747748,965.91,1.09
1222,374,419,1.120320856,486.79,1.3
1223,513,559,1.089668616,715.31,1.39
16012,83,106,1.277108434,196,2.36
5544,662,708,1.069486405,"1,385.95",2.09
1224,203,236,1.162561576,151,0.74
1228,246,278,1.130081301,379.75,1.54
5550,373,594,1.592493298,815.29,2.19
7536,852,974,1.143192488,"1,593.88",1.87
4109,530,581,1.096226415,952.25,1.8
12766,314,362,1.152866242,387.99,1.24
7520,172,201,1.168604651,265.48,1.54
7529,433,502,1.159353349,751.76,1.74
10127,467,507,1.085653105,607.93,1.3
1241,645,733,1.136434109,810.56,1.26
9604,1231,1405,1.141348497,"1,908.45",1.55
1242,370,415,1.121621622,542.02,1.46
16018,106,135,1.273584906,298.31,2.81
10133,340,407,1.197058824,419.32,1.23
12771,287,315,1.097560976,335.36,1.17
7538,1182,1259,1.065143824,"1,447.79",1.22
5553,441,477,1.081632653,591.43,1.34
1254,1250,1749,1.3992,"1,568.60",1.25
1250,268,325,1.212686567,384.13,1.43
1253,637,817,1.282574568,814.6,1.28
1257,493,608,1.23326572,561.73,1.14
4118,288,326,1.131944444,312.37,1.08
15621,205,234,1.141463415,391.07,1.91
5557,419,445,1.062052506,442.98,1.06
7554,577,919,1.592720971,688.01,1.19
15003,442,473,1.070135747,491.95,1.11
5556,234,289,1.235042735,312.67,1.34
1265,291,341,1.171821306,429.02,1.47
12778,332,360,1.084337349,435.38,1.31
5558,878,914,1.041002278,991.24,1.13
1267,259,295,1.138996139,371.13,1.43
10137,530,605,1.141509434,753.95,1.42
6609,1288,1534,1.190993789,"2,211.59",1.72
1268,375,492,1.312,584.18,1.56
9606,418,514,1.229665072,540.93,1.29
16022,640,681,1.0640625,"2,186.39",3.42
5561,470,568,1.208510638,984.89,2.1
9608,704,776,1.102272727,993.54,1.41
5562,503,614,1.220675944,849.87,1.69
11324,441,520,1.179138322,478.09,1.08
7559,427,525,1.229508197,760.09,1.78
12792,395,445,1.126582278,512.1,1.3
7572,465,583,1.253763441,611.72,1.32
5578,573,615,1.073298429,732.04,1.28
1281,666,768,1.153153153,633.78,0.95
1286,291,331,1.137457045,431.67,1.48
12796,596,1006,1.687919463,"1,831.46",3.07
10153,590,682,1.155932203,662.77,1.12
4135,380,473,1.244736842,384.7,1.01
10975,398,423,1.06281407,631.92,1.59
4140,824,1017,1.234223301,"1,178.34",1.43
10146,135,161,1.192592593,231.05,1.71
4134,536,593,1.106343284,853.01,1.59
11066,564,637,1.129432624,873.88,1.55
1284,154,173,1.123376623,205.14,1.33
12798,236,300,1.271186441,252.79,1.07
15622,371,405,1.091644205,513.47,1.38
10155,478,588,1.230125523,"1,043.62",2.18
4149,311,371,1.192926045,768.24,2.47
12800,655,738,1.126717557,975.56,1.49
5580,952,1168,1.226890756,"1,261.20",1.32
10176,1612,1879,1.165632754,"2,213.22",1.37
1292,768,856,1.114583333,946.48,1.23
1301,210,230,1.095238095,225.47,1.07
7560,166,187,1.126506024,225.12,1.36
1308,328,354,1.079268293,448.26,1.37
4163,825,1031,1.24969697,879.88,1.07
11423,1270,1570,1.236220472,"1,875.84",1.48
10159,345,399,1.156521739,497.41,1.44
7576,548,626,1.142335766,769.11,1.4
12816,426,469,1.100938967,647.56,1.52
14481,210,283,1.347619048,455.27,2.17
11666,357,446,1.24929972,606.16,1.7
1322,145,175,1.206896552,943.31,6.51
4151,438,527,1.203196347,679.82,1.55
16029,50,65,1.3,246.54,4.93
15016,47,49,1.042553191,174.6,3.71
11919,302,322,1.066225166,354.34,1.17
10163,433,506,1.168591224,653.57,1.51
7587,1175,1386,1.179574468,"1,660.82",1.41
4158,350,389,1.111428571,700.4,2
1330,1331,1709,1.283996995,"1,855.28",1.39
10165,819,875,1.068376068,"1,404.10",1.71
4166,440,583,1.325,611.96,1.39
5601,438,515,1.175799087,495.85,1.13
10168,531,639,1.203389831,879.74,1.66
15018,254,280,1.102362205,420.15,1.65
15019,63,96,1.523809524,275,4.37
12825,200,236,1.18,260.97,1.3
12828,546,579,1.06043956,525.82,0.96
1340,335,400,1.194029851,479.05,1.43
11567,263,312,1.186311787,504.75,1.92
10172,556,623,1.120503597,862.83,1.55
5596,765,948,1.239215686,"1,353.95",1.77
16031,89,115,1.292134831,150.63,1.69
10174,555,600,1.081081081,713.32,1.29
12829,279,331,1.186379928,389.22,1.4
15022,222,304,1.369369369,"2,407.45",10.84
12831,328,411,1.25304878,368.67,1.12
1364,222,301,1.355855856,314.99,1.42
7607,557,617,1.107719928,543.81,0.98
4176,329,397,1.20668693,412.95,1.26
12834,187,256,1.368983957,"1,520.59",8.13
1357,891,1113,1.249158249,"1,188.78",1.33
5593,436,506,1.160550459,500.69,1.15
7604,467,515,1.102783726,"1,028.21",2.2
6618,290,321,1.106896552,492.22,1.7
15634,175,229,1.308571429,353.84,2.02
12838,353,464,1.314447592,763.13,2.16
10184,546,617,1.13003663,678.99,1.24
6620,417,453,1.086330935,524.24,1.26
12844,211,315,1.492890995,415.59,1.97
4173,93,104,1.11827957,86.64,0.93
1378,469,514,1.095948827,687.8,1.47
15024,433,479,1.106235566,656.84,1.52
12846,561,693,1.235294118,755.16,1.35
1935,33,38,1.151515152,47.48,1.44
6621,335,399,1.191044776,481.47,1.44
8947,433,551,1.272517321,534.86,1.24
11157,735,911,1.239455782,758.29,1.03
1382,509,643,1.263261297,805.93,1.58
6622,169,229,1.355029586,530.17,3.14
12852,142,189,1.330985915,173.93,1.22
16038,163,180,1.104294479,324.99,1.99
1388,453,545,1.203090508,643.7,1.42
12847,81,90,1.111111111,96.75,1.19
14495,356,395,1.109550562,372.52,1.05
14496,126,140,1.111111111,177.96,1.41
1397,636,673,1.058176101,733.48,1.15
4188,583,621,1.065180103,422.43,0.72
10188,593,700,1.180438449,857.3,1.45
10189,376,404,1.074468085,449.01,1.19
12855,562,780,1.387900356,862.26,1.53
11724,403,481,1.193548387,583.97,1.45
11350,275,305,1.109090909,539.15,1.96
12865,438,452,1.03196347,732.67,1.67
4187,367,477,1.29972752,745.67,2.03
12863,166,189,1.138554217,268.23,1.62
1399,726,847,1.166666667,749.76,1.03
1413,867,1026,1.183391003,"1,048.66",1.21
12862,158,212,1.341772152,233.39,1.48
1412,229,247,1.07860262,326.19,1.42
16039,318,485,1.525157233,401.03,1.26
12861,705,847,1.20141844,808.05,1.15
5615,271,306,1.129151292,542.14,2
1406,397,527,1.327455919,469.02,1.18
14500,504,563,1.117063492,496.49,0.99
14503,277,304,1.097472924,476.13,1.72
11555,536,653,1.218283582,767.01,1.43
11112,468,549,1.173076923,612.54,1.31
12875,138,146,1.057971014,249.86,1.81
16040,166,218,1.313253012,345.05,2.08
4193,413,494,1.196125908,"1,388.02",3.36
1419,292,352,1.205479452,312.16,1.07
11297,1100,1228,1.116363636,"1,846.00",1.68
12872,69,121,1.753623188,122.16,1.77
1421,259,301,1.162162162,316.02,1.22
12874,362,454,1.254143646,569.38,1.57
7626,992,1247,1.257056452,"1,802.86",1.82
8953,503,567,1.127236581,504.85,1
7620,94,99,1.053191489,150.58,1.6
15035,149,173,1.161073826,317.73,2.13
7621,647,736,1.13755796,"1,020.41",1.58
6631,550,697,1.267272727,944.02,1.72
16041,286,318,1.111888112,475.08,1.66
1432,468,630,1.346153846,676.35,1.45
10197,310,377,1.216129032,364.12,1.17
6632,623,944,1.515248796,"1,912.88",3.07
5622,255,332,1.301960784,807.18,3.17
1433,323,407,1.26006192,348.32,1.08
16043,895,972,1.08603352,"1,320.55",1.48
12886,520,587,1.128846154,652.69,1.26
12883,106,168,1.58490566,195.46,1.84
1437,809,963,1.190358467,"1,035.11",1.28
1442,613,717,1.169657423,819.39,1.34
9624,928,1145,1.233836207,"1,911.53",2.06
14506,199,244,1.226130653,202.12,1.02
12889,74,93,1.256756757,281.26,3.8
1446,697,823,1.180774749,769.23,1.1
5625,642,765,1.191588785,907.08,1.41
7644,548,635,1.158759124,597.81,1.09
1454,1387,1811,1.305695746,"2,785.03",2.01
1461,569,666,1.170474517,633.84,1.11
11695,653,815,1.248085758,691.78,1.06
5635,172,190,1.104651163,272.2,1.58
7650,396,454,1.146464646,395.59,1
15651,265,346,1.305660377,663.26,2.5
7643,1131,1222,1.08045977,"1,128.25",1
5630,204,262,1.284313725,454.78,2.23
7658,536,644,1.201492537,783.07,1.46
11054,467,560,1.199143469,594.34,1.27
9625,116,136,1.172413793,367.32,3.17
1474,454,600,1.321585903,737.58,1.62
1464,368,428,1.163043478,529.6,1.44
4207,472,597,1.264830508,698.14,1.48
12901,329,402,1.221884498,484.72,1.47
5631,532,707,1.328947368,"1,341.93",2.52
1469,243,280,1.152263374,366.15,1.51
1473,181,197,1.08839779,177.62,0.98
5636,376,507,1.348404255,704.11,1.87
8968,402,504,1.253731343,638.75,1.59
1484,712,862,1.210674157,962.19,1.35
1480,1215,1403,1.15473251,"1,847.31",1.52
7665,287,300,1.045296167,678.55,2.36
4219,795,818,1.028930818,778.23,0.98
8966,276,348,1.260869565,701.53,2.54
12915,353,465,1.317280453,558.1,1.58
8972,833,998,1.198079232,"2,167.03",2.6
7675,858,1078,1.256410256,"1,541.33",1.8
5641,459,686,1.494553377,"1,565.12",3.41
1497,347,477,1.374639769,427.07,1.23
12917,221,254,1.149321267,518.08,2.34
5642,172,187,1.087209302,472.4,2.75
8982,270,356,1.318518519,362.44,1.34
11620,783,890,1.136653895,999.17,1.28
12920,186,258,1.387096774,251.8,1.35
11926,59,66,1.118644068,72.14,1.22
1500,118,161,1.36440678,130.9,1.11
7660,462,480,1.038961039,"1,137.69",2.46
16048,221,274,1.239819005,322.62,1.46
10223,1070,1267,1.18411215,"2,460.99",2.3
15654,193,284,1.471502591,306.04,1.59
7683,424,485,1.143867925,559.7,1.32
12922,179,221,1.234636872,343.15,1.92
12925,449,683,1.521158129,806.35,1.8
1511,58,79,1.362068966,69.47,1.2
1509,204,268,1.31372549,420.2,2.06
5647,726,1081,1.488980716,"1,124.86",1.55
1514,803,1127,1.403486924,"1,097.96",1.37
1508,401,504,1.256857855,427.23,1.07
11927,192,205,1.067708333,248.05,1.29
12930,407,546,1.341523342,641.05,1.58
1524,503,571,1.135188867,572.2,1.14
8987,1712,2095,1.223714953,"2,920.63",1.71
